shift_date,market,utilization_percent
2017-02-01,1-BAY,38.66077
2017-02-01,2-NY,23.18104
2017-02-01,4-LA,24.99593
2017-02-01,5-CHI,17.69063
2017-02-01,6-DAL,24.4598
2017-02-01,7-HOU,30.73516
2017-02-01,8-ATL,30.33796
2017-02-01,9-MIA,25.15676
2017-01-31,1-BAY,28.60172
2017-01-31,2-NY,28.61316
2017-01-31,4-LA,32.19369
2017-01-31,5-CHI,26.48962
2017-01-31,6-DAL,42.47687
2017-01-31,7-HOU,42.31541
2017-01-31,8-ATL,26.80891
2017-01-31,9-MIA,29.26247
2017-01-30,1-BAY,37.56714
2017-01-30,2-NY,22.72469
2017-01-30,4-LA,27.5743
2017-01-30,5-CHI,29.0821
2017-01-30,6-DAL,41.25461
2017-01-30,7-HOU,43.35875
2017-01-30,8-ATL,26.98841
2017-01-30,9-MIA,36.839
2017-01-29,1-BAY,42.20035
2017-01-29,2-NY,24.66507
2017-01-29,4-LA,51.29248
2017-01-29,5-CHI,18.35593
2017-01-29,6-DAL,36.90474
2017-01-29,7-HOU,38.10829
2017-01-29,8-ATL,32.98761
2017-01-29,9-MIA,29.85669
2017-01-28,1-BAY,43.77043
2017-01-28,2-NY,29.28605
2017-01-28,4-LA,34.2607
2017-01-28,5-CHI,26.26508
2017-01-28,6-DAL,43.45784
2017-01-28,7-HOU,43.74028
2017-01-28,8-ATL,29.39807
2017-01-28,9-MIA,17.62026
2017-01-27,1-BAY,35.27659
2017-01-27,2-NY,37.52466
2017-01-27,4-LA,45.93594
2017-01-27,5-CHI,43.21542
2017-01-27,6-DAL,33.43241
2017-01-27,7-HOU,37.48389
2017-01-27,8-ATL,45.01289
2017-01-27,9-MIA,25.08777
2017-01-26,1-BAY,39.50091
2017-01-26,2-NY,20.88991
2017-01-26,4-LA,37.36073
2017-01-26,5-CHI,36.3738
2017-01-26,6-DAL,41.02604
2017-01-26,7-HOU,33.25194
2017-01-26,8-ATL,29.13848
2017-01-26,9-MIA,21.97057
2017-01-25,1-BAY,37.84581
2017-01-25,2-NY,23.14145
2017-01-25,4-LA,41.70344
2017-01-25,5-CHI,28.96538
2017-01-25,6-DAL,47.5563
2017-01-25,7-HOU,32.80074
2017-01-25,8-ATL,24.34193
2017-01-25,9-MIA,21.62509
2017-01-24,1-BAY,36.60471
2017-01-24,2-NY,27.54663
2017-01-24,4-LA,37.35197
2017-01-24,5-CHI,24.40081
2017-01-24,6-DAL,57.17832
2017-01-24,7-HOU,35.01727
2017-01-24,8-ATL,24.11833
2017-01-24,9-MIA,10.26875
2017-01-23,1-BAY,42.85067
2017-01-23,2-NY,30.28455
2017-01-23,4-LA,43.00142
2017-01-23,5-CHI,33.08102
2017-01-23,6-DAL,59.68342
2017-01-23,7-HOU,40.93136
2017-01-23,8-ATL,44.92818
2017-01-23,9-MIA,28.78148
2017-01-22,1-BAY,45.52251
2017-01-22,2-NY,34.37646
2017-01-22,4-LA,31.4142
2017-01-22,5-CHI,36.62613
2017-01-22,6-DAL,45.45474
2017-01-22,7-HOU,24.02202
2017-01-22,8-ATL,34.81773
2017-01-22,9-MIA,27.61933
2017-01-21,1-BAY,38.78661
2017-01-21,2-NY,33.86372
2017-01-21,4-LA,34.18124
2017-01-21,5-CHI,30.87009
2017-01-21,6-DAL,53.21918
2017-01-21,7-HOU,31.33455
2017-01-21,8-ATL,34.83089
2017-01-21,9-MIA,33.09981
2017-01-20,1-BAY,39.27583
2017-01-20,2-NY,23.27285
2017-01-20,4-LA,35.23627
2017-01-20,5-CHI,18.57857
2017-01-20,6-DAL,41.85442
2017-01-20,7-HOU,44.30684
2017-01-20,8-ATL,31.95556
2017-01-20,9-MIA,26.97992
2017-01-19,1-BAY,40.07747
2017-01-19,2-NY,28.07093
2017-01-19,4-LA,40.57412
2017-01-19,5-CHI,22.61005
2017-01-19,6-DAL,46.07662
2017-01-19,7-HOU,27.0007
2017-01-19,8-ATL,26.56583
2017-01-19,9-MIA,19.56116
2017-01-18,1-BAY,35.81017
2017-01-18,2-NY,29.77616
2017-01-18,4-LA,37.26671
2017-01-18,5-CHI,19.07436
2017-01-18,6-DAL,41.28107
2017-01-18,7-HOU,20.64948
2017-01-18,8-ATL,30.96659
2017-01-18,9-MIA,25.29107
2017-01-17,1-BAY,44.40634
2017-01-17,2-NY,29.24751
2017-01-17,4-LA,37.73992
2017-01-17,5-CHI,31.75663
2017-01-17,6-DAL,34.27823
2017-01-17,7-HOU,29.24719
2017-01-17,8-ATL,32.0782
2017-01-17,9-MIA,35.00285
2017-01-16,1-BAY,44.47473
2017-01-16,2-NY,34.08645
2017-01-16,4-LA,27.89989
2017-01-16,5-CHI,41.58053
2017-01-16,6-DAL,33.24769
2017-01-16,7-HOU,57.12981
2017-01-16,8-ATL,35.63215
2017-01-16,9-MIA,36.31185
2017-01-15,1-BAY,44.20955
2017-01-15,2-NY,42.66615
2017-01-15,4-LA,37.76506
2017-01-15,5-CHI,36.58656
2017-01-15,6-DAL,44.39515
2017-01-15,7-HOU,22.85727
2017-01-15,8-ATL,38.89797
2017-01-15,9-MIA,33.25749
2017-01-14,1-BAY,46.11876
2017-01-14,2-NY,30.4872
2017-01-14,4-LA,40.05339
2017-01-14,5-CHI,44.13677
2017-01-14,6-DAL,54.26579
2017-01-14,7-HOU,37.22582
2017-01-14,8-ATL,35.33512
2017-01-14,9-MIA,34.45142
2017-01-13,1-BAY,26.94589
2017-01-13,2-NY,28.6884
2017-01-13,4-LA,32.75782
2017-01-13,5-CHI,35.16933
2017-01-13,6-DAL,27.70339
2017-01-13,7-HOU,36.17604
2017-01-13,8-ATL,23.2854
2017-01-13,9-MIA,42.47522
2017-01-12,1-BAY,32.60008
2017-01-12,2-NY,30.14499
2017-01-12,4-LA,34.31947
2017-01-12,5-CHI,34.65269
2017-01-12,6-DAL,44.11079
2017-01-12,7-HOU,31.75953
2017-01-12,8-ATL,36.66942
2017-01-12,9-MIA,24.39538
2017-01-11,1-BAY,42.90252
2017-01-11,2-NY,20.36189
2017-01-11,4-LA,28.82794
2017-01-11,5-CHI,26.87556
2017-01-11,6-DAL,36.64059
2017-01-11,7-HOU,28.68783
2017-01-11,8-ATL,37.01526
2017-01-11,9-MIA,24.38278
2017-01-10,1-BAY,31.22244
2017-01-10,2-NY,34.53312
2017-01-10,4-LA,39.0719
2017-01-10,5-CHI,24.21877
2017-01-10,6-DAL,22.14579
2017-01-10,7-HOU,33.41204
2017-01-10,8-ATL,53.18288
2017-01-10,9-MIA,44.53429
2017-01-09,1-BAY,46.41706
2017-01-09,2-NY,41.51031
2017-01-09,4-LA,32.92331
2017-01-09,5-CHI,24.33719
2017-01-09,6-DAL,39.56003
2017-01-09,7-HOU,52.39494
2017-01-09,8-ATL,38.11887
2017-01-09,9-MIA,39.68513
2017-01-08,1-BAY,15.99513
2017-01-08,2-NY,66.60278
2017-01-08,4-LA,31.88893
2017-01-08,5-CHI,35.32322
2017-01-08,6-DAL,48.57081
2017-01-08,7-HOU,48.80486
2017-01-08,8-ATL,29.3827
2017-01-08,9-MIA,34.40539
2017-01-07,1-BAY,58.44269
2017-01-07,2-NY,23.07014
2017-01-07,4-LA,47.15851
2017-01-07,5-CHI,32.21232
2017-01-07,6-DAL,63.46003
2017-01-07,7-HOU,40.40265
2017-01-07,8-ATL,28.34853
2017-01-07,9-MIA,39.23855
2017-01-06,1-BAY,48.04929
2017-01-06,2-NY,34.5468
2017-01-06,4-LA,46.58573
2017-01-06,5-CHI,33.81886
2017-01-06,6-DAL,57.93759
2017-01-06,7-HOU,43.25882
2017-01-06,8-ATL,42.87264
2017-01-06,9-MIA,55.07473
2017-01-05,1-BAY,36.72003
2017-01-05,2-NY,37.83155
2017-01-05,4-LA,46.42685
2017-01-05,5-CHI,32.00866
2017-01-05,6-DAL,63.17881
2017-01-05,7-HOU,31.38534
2017-01-05,8-ATL,65.11783
2017-01-05,9-MIA,36.91008
2017-01-04,1-BAY,47.16388
2017-01-04,2-NY,40.65299
2017-01-04,4-LA,44.74792
2017-01-04,5-CHI,31.68752
2017-01-04,6-DAL,54.95673
2017-01-04,7-HOU,57.57946
2017-01-04,8-ATL,52.58427
2017-01-04,9-MIA,32.06515
2017-01-03,1-BAY,54.81049
2017-01-03,2-NY,38.76673
2017-01-03,4-LA,53.14117
2017-01-03,5-CHI,42.43385
2017-01-03,6-DAL,56.76282
2017-01-03,7-HOU,46.57445
2017-01-03,8-ATL,50.55358
2017-01-03,9-MIA,37.86138
2017-01-02,1-BAY,42.96011
2017-01-02,2-NY,43.77774
2017-01-02,4-LA,53.06984
2017-01-02,5-CHI,44.37602
2017-01-02,6-DAL,62.49108
2017-01-02,7-HOU,56.6543
2017-01-02,8-ATL,51.67248
2017-01-02,9-MIA,30.92168
2016-12-31,1-BAY,55.9328
2016-12-31,2-NY,44.6304
2016-12-31,4-LA,28.60379
2016-12-31,5-CHI,36.20311
2016-12-31,6-DAL,51.28448
2016-12-31,7-HOU,40.5726
2016-12-31,8-ATL,47.60559
2016-12-31,9-MIA,36.86146
2016-12-30,1-BAY,48.78454
2016-12-30,2-NY,40.86446
2016-12-30,4-LA,43.77699
2016-12-30,5-CHI,36.81201
2016-12-30,6-DAL,51.67878
2016-12-30,7-HOU,48.86228
2016-12-30,8-ATL,46.97568
2016-12-30,9-MIA,49.65717
2016-12-29,1-BAY,51.27468
2016-12-29,2-NY,27.05556
2016-12-29,4-LA,42.03017
2016-12-29,5-CHI,52.49092
2016-12-29,6-DAL,60.46432
2016-12-29,7-HOU,59.89424
2016-12-29,8-ATL,48.80081
2016-12-29,9-MIA,55.80565
2016-12-28,1-BAY,48.47892
2016-12-28,2-NY,34.84589
2016-12-28,4-LA,40.90248
2016-12-28,5-CHI,34.07384
2016-12-28,6-DAL,55.01562
2016-12-28,7-HOU,57.33046
2016-12-28,8-ATL,46.25899
2016-12-28,9-MIA,51.66335
2016-12-27,1-BAY,45.20609
2016-12-27,2-NY,39.36922
2016-12-27,4-LA,50.41316
2016-12-27,5-CHI,43.66324
2016-12-27,6-DAL,54.25916
2016-12-27,7-HOU,55.38044
2016-12-27,8-ATL,61.39354
2016-12-27,9-MIA,56.30346
2016-12-26,1-BAY,49.59911
2016-12-26,2-NY,48.81061
2016-12-26,4-LA,53.41315
2016-12-26,5-CHI,57.3808
2016-12-26,6-DAL,54.59579
2016-12-26,7-HOU,54.3563
2016-12-26,8-ATL,51.92241
2016-12-26,9-MIA,47.08898
2016-12-24,1-BAY,47.09032
2016-12-24,2-NY,49.46003
2016-12-24,4-LA,51.75043
2016-12-24,5-CHI,55.00906
2016-12-24,6-DAL,56.9177
2016-12-24,7-HOU,48.28741
2016-12-24,8-ATL,53.08483
2016-12-24,9-MIA,49.0718
2016-12-23,1-BAY,59.157
2016-12-23,2-NY,44.4377
2016-12-23,4-LA,54.59114
2016-12-23,5-CHI,73.60067
2016-12-23,6-DAL,63.15106
2016-12-23,7-HOU,57.55063
2016-12-23,8-ATL,46.3003
2016-12-23,9-MIA,49.85085
2016-12-22,1-BAY,58.67846
2016-12-22,2-NY,44.64634
2016-12-22,4-LA,55.85661
2016-12-22,5-CHI,56.85371
2016-12-22,6-DAL,73.26991
2016-12-22,7-HOU,58.34091
2016-12-22,8-ATL,57.72677
2016-12-22,9-MIA,49.06734
2016-12-21,1-BAY,53.91475
2016-12-21,2-NY,40.77079
2016-12-21,4-LA,45.07306
2016-12-21,5-CHI,48.64374
2016-12-21,6-DAL,71.85333
2016-12-21,7-HOU,62.91888
2016-12-21,8-ATL,53.08506
2016-12-21,9-MIA,45.03633
2016-12-20,1-BAY,43.10038
2016-12-20,2-NY,43.38198
2016-12-20,4-LA,51.78479
2016-12-20,5-CHI,50.19197
2016-12-20,6-DAL,63.97361
2016-12-20,7-HOU,68.03845
2016-12-20,8-ATL,46.27034
2016-12-20,9-MIA,48.39261
2016-12-19,1-BAY,49.9337
2016-12-19,2-NY,47.31194
2016-12-19,4-LA,40.55792
2016-12-19,5-CHI,50.95481
2016-12-19,6-DAL,62.1786
2016-12-19,7-HOU,58.54995
2016-12-19,8-ATL,45.13177
2016-12-19,9-MIA,53.24314
2016-12-18,1-BAY,52.40472
2016-12-18,2-NY,61.53127
2016-12-18,4-LA,47.75141
2016-12-18,5-CHI,50.93144
2016-12-18,6-DAL,63.66271
2016-12-18,7-HOU,62.71509
2016-12-18,8-ATL,59.45177
2016-12-18,9-MIA,41.01519
2016-12-17,1-BAY,51.57686
2016-12-17,2-NY,41.51389
2016-12-17,4-LA,58.01298
2016-12-17,5-CHI,51.0813
2016-12-17,6-DAL,60.89039
2016-12-17,7-HOU,57.96717
2016-12-17,8-ATL,54.60581
2016-12-17,9-MIA,37.92081
2016-12-16,1-BAY,47.00781
2016-12-16,2-NY,34.40918
2016-12-16,4-LA,52.41242
2016-12-16,5-CHI,50.68817
2016-12-16,6-DAL,68.24266
2016-12-16,7-HOU,59.37147
2016-12-16,8-ATL,55.04855
2016-12-16,9-MIA,39.81351
2016-12-15,1-BAY,49.30264
2016-12-15,2-NY,36.16807
2016-12-15,4-LA,38.96621
2016-12-15,5-CHI,57.98727
2016-12-15,6-DAL,60.6953
2016-12-15,7-HOU,59.31332
2016-12-15,8-ATL,62.78811
2016-12-15,9-MIA,54.25683
2016-12-14,1-BAY,46.51559
2016-12-14,2-NY,41.63227
2016-12-14,4-LA,46.61686
2016-12-14,5-CHI,31.3846
2016-12-14,6-DAL,60.27496
2016-12-14,7-HOU,42.15955
2016-12-14,8-ATL,53.7859
2016-12-14,9-MIA,39.27303
2016-12-13,1-BAY,44.53261
2016-12-13,2-NY,45.55518
2016-12-13,4-LA,38.78141
2016-12-13,5-CHI,48.38174
2016-12-13,6-DAL,47.09858
2016-12-13,7-HOU,45.95259
2016-12-13,8-ATL,36.13146
2016-12-13,9-MIA,56.00151
2016-12-12,1-BAY,52.12857
2016-12-12,2-NY,35.87251
2016-12-12,4-LA,40.37306
2016-12-12,5-CHI,35.39015
2016-12-12,6-DAL,62.67782
2016-12-12,7-HOU,53.32885
2016-12-12,8-ATL,48.0615
2016-12-12,9-MIA,43.7212
2016-12-11,1-BAY,38.46544
2016-12-11,2-NY,47.70403
2016-12-11,4-LA,43.68617
2016-12-11,5-CHI,41.12369
2016-12-11,6-DAL,64.42639
2016-12-11,7-HOU,55.04881
2016-12-11,8-ATL,38.62957
2016-12-11,9-MIA,37.41481
2016-12-10,1-BAY,54.01158
2016-12-10,2-NY,39.50383
2016-12-10,4-LA,55.53179
2016-12-10,5-CHI,37.64738
2016-12-10,6-DAL,51.92967
2016-12-10,7-HOU,45.85151
2016-12-10,8-ATL,44.20217
2016-12-10,9-MIA,36.33683
2016-12-09,1-BAY,50.61618
2016-12-09,2-NY,40.50932
2016-12-09,4-LA,46.69486
2016-12-09,5-CHI,39.07857
2016-12-09,6-DAL,48.44562
2016-12-09,7-HOU,45.595
2016-12-09,8-ATL,53.31722
2016-12-09,9-MIA,43.17152
2016-12-08,1-BAY,52.26295
2016-12-08,2-NY,44.9815
2016-12-08,4-LA,46.70886
2016-12-08,5-CHI,39.83825
2016-12-08,6-DAL,41.82686
2016-12-08,7-HOU,38.48217
2016-12-08,8-ATL,56.09189
2016-12-08,9-MIA,49.39285
2016-12-07,1-BAY,43.47526
2016-12-07,2-NY,47.81078
2016-12-07,4-LA,36.65854
2016-12-07,5-CHI,41.50026
2016-12-07,6-DAL,44.03652
2016-12-07,7-HOU,53.55566
2016-12-07,8-ATL,53.13113
2016-12-07,9-MIA,45.82444
2016-12-06,1-BAY,45.90536
2016-12-06,2-NY,40.67106
2016-12-06,4-LA,48.36257
2016-12-06,5-CHI,39.47952
2016-12-06,6-DAL,56.68497
2016-12-06,7-HOU,44.58352
2016-12-06,8-ATL,49.34211
2016-12-06,9-MIA,48.31964
2016-12-05,1-BAY,47.0286
2016-12-05,2-NY,38.1938
2016-12-05,4-LA,49.00022
2016-12-05,5-CHI,41.70324
2016-12-05,6-DAL,56.94632
2016-12-05,7-HOU,49.11014
2016-12-05,8-ATL,42.71845
2016-12-05,9-MIA,47.15698
2016-12-04,1-BAY,50.81111
2016-12-04,2-NY,49.13957
2016-12-04,4-LA,42.12042
2016-12-04,5-CHI,50.82722
2016-12-04,6-DAL,54.99016
2016-12-04,7-HOU,61.16878
2016-12-04,8-ATL,54.48017
2016-12-04,9-MIA,47.24284
2016-12-03,1-BAY,57.40135
2016-12-03,2-NY,39.86792
2016-12-03,4-LA,52.6964
2016-12-03,5-CHI,66.32354
2016-12-03,6-DAL,57.41222
2016-12-03,7-HOU,58.10618
2016-12-03,8-ATL,56.38052
2016-12-03,9-MIA,47.29293
2016-12-02,1-BAY,57.22236
2016-12-02,2-NY,49.09797
2016-12-02,4-LA,50.14601
2016-12-02,5-CHI,51.95722
2016-12-02,6-DAL,62.62061
2016-12-02,7-HOU,55.86544
2016-12-02,8-ATL,48.88101
2016-12-02,9-MIA,56.03536
2016-12-01,1-BAY,47.24988
2016-12-01,2-NY,33.49887
2016-12-01,4-LA,46.82337
2016-12-01,5-CHI,47.09153
2016-12-01,6-DAL,59.13754
2016-12-01,7-HOU,53.53188
2016-12-01,8-ATL,64.86035
2016-12-01,9-MIA,46.08149
2016-11-30,1-BAY,53.71333
2016-11-30,2-NY,43.92447
2016-11-30,4-LA,56.94291
2016-11-30,5-CHI,39.44538
2016-11-30,6-DAL,57.28708
2016-11-30,7-HOU,56.35083
2016-11-30,8-ATL,45.41772
2016-11-30,9-MIA,45.82425
2016-11-29,1-BAY,33.06463
2016-11-29,2-NY,30.98308
2016-11-29,4-LA,35.54335
2016-11-29,5-CHI,32.50273
2016-11-29,6-DAL,39.70944
2016-11-29,7-HOU,44.7878
2016-11-29,8-ATL,47.49674
2016-11-29,9-MIA,37.30663
2016-11-28,1-BAY,43.02524
2016-11-28,2-NY,46.86266
2016-11-28,4-LA,46.61226
2016-11-28,5-CHI,37.62511
2016-11-28,6-DAL,58.57128
2016-11-28,7-HOU,55.77208
2016-11-28,8-ATL,33.98655
2016-11-28,9-MIA,43.31511
2016-11-27,1-BAY,41.39727
2016-11-27,2-NY,52.96543
2016-11-27,4-LA,40.26725
2016-11-27,5-CHI,39.93461
2016-11-27,6-DAL,51.24432
2016-11-27,7-HOU,53.23537
2016-11-27,8-ATL,52.68938
2016-11-27,9-MIA,37.60741
2016-11-26,1-BAY,57.45572
2016-11-26,2-NY,31.94138
2016-11-26,4-LA,38.69669
2016-11-26,5-CHI,45.43417
2016-11-26,6-DAL,51.38362
2016-11-26,7-HOU,57.53632
2016-11-26,8-ATL,72.44847
2016-11-26,9-MIA,36.68227
2016-11-25,1-BAY,60.18122
2016-11-25,2-NY,53.37434
2016-11-25,4-LA,48.25156
2016-11-25,5-CHI,58.38665
2016-11-25,6-DAL,67.44454
2016-11-25,7-HOU,55.44316
2016-11-25,8-ATL,53.35692
2016-11-25,9-MIA,42.03107
2016-11-23,1-BAY,41.76833
2016-11-23,2-NY,27.17581
2016-11-23,4-LA,46.40819
2016-11-23,5-CHI,41.56353
2016-11-23,6-DAL,35.70852
2016-11-23,7-HOU,35.27886
2016-11-23,8-ATL,13.2608
2016-11-23,9-MIA,24.8133
2016-11-22,1-BAY,48.90136
2016-11-22,2-NY,26.1614
2016-11-22,4-LA,31.93358
2016-11-22,5-CHI,31.29118
2016-11-22,6-DAL,43.10808
2016-11-22,7-HOU,45.90073
2016-11-22,8-ATL,35.13814
2016-11-22,9-MIA,42.24741
2016-11-21,1-BAY,53.05374
2016-11-21,2-NY,27.81429
2016-11-21,4-LA,35.91264
2016-11-21,5-CHI,37.99063
2016-11-21,6-DAL,49.00437
2016-11-21,7-HOU,28.13627
2016-11-21,8-ATL,30.24204
2016-11-21,9-MIA,30.45077
2016-11-20,1-BAY,55.83514
2016-11-20,2-NY,37.34962
2016-11-20,4-LA,25.88843
2016-11-20,5-CHI,48.67206
2016-11-20,6-DAL,54.86474
2016-11-20,7-HOU,47.01406
2016-11-20,8-ATL,43.20125
2016-11-20,9-MIA,26.86386
2016-11-19,1-BAY,46.44218
2016-11-19,2-NY,31.24022
2016-11-19,4-LA,38.40231
2016-11-19,5-CHI,55.49487
2016-11-19,6-DAL,38.38931
2016-11-19,7-HOU,54.10528
2016-11-19,8-ATL,33.62214
2016-11-19,9-MIA,23.67845
2016-11-18,1-BAY,42.97326
2016-11-18,2-NY,40.22353
2016-11-18,4-LA,30.9984
2016-11-18,5-CHI,53.19304
2016-11-18,6-DAL,32.54059
2016-11-18,7-HOU,39.86026
2016-11-18,8-ATL,41.6992
2016-11-18,9-MIA,36.28091
2016-11-17,1-BAY,23.41949
2016-11-17,2-NY,33.78273
2016-11-17,4-LA,33.27081
2016-11-17,5-CHI,21.5721
2016-11-17,6-DAL,29.65066
2016-11-17,7-HOU,25.84347
2016-11-17,8-ATL,30.38911
2016-11-17,9-MIA,51.22273
2016-11-16,1-BAY,34.95986
2016-11-16,2-NY,28.7807
2016-11-16,4-LA,32.18988
2016-11-16,5-CHI,32.0024
2016-11-16,6-DAL,37.60989
2016-11-16,7-HOU,40.76341
2016-11-16,8-ATL,48.41224
2016-11-16,9-MIA,35.73414
2016-11-15,1-BAY,32.41492
2016-11-15,2-NY,37.68672
2016-11-15,4-LA,32.22155
2016-11-15,5-CHI,29.34431
2016-11-15,6-DAL,43.91062
2016-11-15,7-HOU,31.21638
2016-11-15,8-ATL,32.28968
2016-11-15,9-MIA,49.29438
2016-11-14,1-BAY,39.75675
2016-11-14,2-NY,27.59855
2016-11-14,4-LA,35.5848
2016-11-14,5-CHI,33.05312
2016-11-14,6-DAL,49.22411
2016-11-14,7-HOU,51.59358
2016-11-14,8-ATL,35.84476
2016-11-14,9-MIA,31.40684
2016-11-13,1-BAY,54.47966
2016-11-13,2-NY,26.85379
2016-11-13,4-LA,40.94027
2016-11-13,5-CHI,46.97845
2016-11-13,6-DAL,62.49511
2016-11-13,7-HOU,54.45414
2016-11-13,8-ATL,48.13925
2016-11-13,9-MIA,34.70436
2016-11-12,1-BAY,54.82867
2016-11-12,2-NY,41.13287
2016-11-12,4-LA,45.41727
2016-11-12,5-CHI,51.39028
2016-11-12,6-DAL,52.7435
2016-11-12,7-HOU,37.61317
2016-11-12,8-ATL,58.84903
2016-11-12,9-MIA,35.28003
2016-11-11,1-BAY,47.96381
2016-11-11,2-NY,44.32939
2016-11-11,4-LA,43.79734
2016-11-11,5-CHI,39.67866
2016-11-11,6-DAL,49.02188
2016-11-11,7-HOU,50.00411
2016-11-11,8-ATL,42.34308
2016-11-11,9-MIA,51.59947
2016-11-10,1-BAY,34.88704
2016-11-10,2-NY,38.39687
2016-11-10,4-LA,38.27395
2016-11-10,5-CHI,35.37926
2016-11-10,6-DAL,38.2947
2016-11-10,7-HOU,29.38797
2016-11-10,8-ATL,31.31601
2016-11-10,9-MIA,36.42984
2016-11-09,1-BAY,37.38056
2016-11-09,2-NY,18.88862
2016-11-09,4-LA,23.827
2016-11-09,5-CHI,30.25992
2016-11-09,6-DAL,30.96083
2016-11-09,7-HOU,23.90618
2016-11-09,8-ATL,25.63307
2016-11-09,9-MIA,25.8601
2016-11-08,1-BAY,37.37888
2016-11-08,2-NY,27.03048
2016-11-08,4-LA,38.4314
2016-11-08,5-CHI,30.95893
2016-11-08,6-DAL,49.69482
2016-11-08,7-HOU,27.61887
2016-11-08,8-ATL,53.22472
2016-11-08,9-MIA,28.79954
2016-11-07,1-BAY,40.89134
2016-11-07,2-NY,34.55245
2016-11-07,4-LA,28.33696
2016-11-07,5-CHI,32.79154
2016-11-07,6-DAL,41.43169
2016-11-07,7-HOU,45.65154
2016-11-07,8-ATL,35.43962
2016-11-07,9-MIA,32.4285
2016-11-06,1-BAY,57.27758
2016-11-06,2-NY,46.88652
2016-11-06,4-LA,27.46408
2016-11-06,5-CHI,48.30073
2016-11-06,6-DAL,49.47761
2016-11-06,7-HOU,38.43928
2016-11-06,8-ATL,29.56039
2016-11-06,9-MIA,50.75014
2016-11-05,1-BAY,44.9404
2016-11-05,2-NY,49.16554
2016-11-05,4-LA,45.82875
2016-11-05,5-CHI,50.94641
2016-11-05,6-DAL,57.11282
2016-11-05,7-HOU,48.82726
2016-11-05,8-ATL,55.69965
2016-11-05,9-MIA,32.83043
2016-11-04,1-BAY,51.31109
2016-11-04,2-NY,36.4748
2016-11-04,4-LA,46.3325
2016-11-04,5-CHI,47.40097
2016-11-04,6-DAL,52.98196
2016-11-04,7-HOU,47.52588
2016-11-04,8-ATL,54.79283
2016-11-04,9-MIA,27.25822
2016-11-03,1-BAY,40.37814
2016-11-03,2-NY,33.16797
2016-11-03,4-LA,40.4078
2016-11-03,5-CHI,46.91405
2016-11-03,6-DAL,39.42592
2016-11-03,7-HOU,44.45068
2016-11-03,8-ATL,25.53802
2016-11-03,9-MIA,29.34756
2016-11-02,1-BAY,41.24503
2016-11-02,2-NY,22.45825
2016-11-02,4-LA,39.57713
2016-11-02,5-CHI,28.81634
2016-11-02,6-DAL,44.22532
2016-11-02,7-HOU,30.63672
